title,price,rating,oprice,brand
"Men's Digital Sports Watch, LED Square Large Face Analog Quartz Wrist Watch with Multi-Time Zone Waterproof Stopwatch  ",949,4.1,₹949,SKMEI
Analog Black Dial Men's Watch-7131NM02/NP7131NM02  ,"2,232",4.0,"₹2,232",Sonata
TW000R425  ,"2,328",4.3,"₹2,328",TIMEX
Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15  ,749,4.0,₹749,Sonata
Steez Analog Dial Women's Watch  ,"1,244",4.3,"₹1,244",Fastrack
Watches  ,301.,3.3,₹301.66,Rick Sapp
SHREENOVA® ID116 Plus Bluetooth Fitness Smart Watch for Men Women and Kids Activity Tracker (Black)  ,278,3.1,₹278,Generic
Special Super Quality Analog Watches Combo Look Like Handsome for Boys and Mens Pack of - 3(436-01-02)  ,365,3.6,₹365,Acnos
Regalia Chronograph Silver Dial Men's Watch-NN9308BM01/NP9308BM01  ,"10,395",4.3,"₹10,395",Titan
Enticer Analog Black Dial Men's Watch-MTP-VD01D-1EVUDF (A1362)  ,"2,498",4.4,"₹2,498",Casio
Analog Black Dial Men's Watch-MTP-V005D-1B5UDF  ,"1,945",4.2,"₹1,945",Casio
"Smart Watch for Men - Smart Watches for Men Women, Bluetooth Smartwatch Touch Screen Bluetooth Smart Watches for Android iOS Phones Wrist Phone Watch, Women - Royal Black ID116 Smart Watch - Black  ",499,3.3,₹499,VELL - TECH
Digital Men's Watch (Multicolour Dial Colored Strap)  ,399,3.8,₹399,PAPIO
Neo Analog Grey Dial Men's Watch-1729SL04 / 1729SL04  ,"1,995",4.1,"₹1,995",Titan
"Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, GPS, NFC, Wellness Features and Smartphone Notifications  ","11,994",3.9,"₹11,994",Fossil
Classic Analog Gold Dial Men's Watch-NL7023YM09/NP7023YM09  ,"1,425",3.9,"₹1,425",Sonata
Black Round Diamond Dial with Latest Generation Purple & Rosegold Magnet Belt Analogue Watch for Women Pack of - 2 (DM-PURPLE-ROSEGOLD05)  ,345,3.8,₹345,Acnos
Analog Black Dial (Big dial) Men's Watch-DZ7395  ,"33,995",4.0,"₹33,995",Diesel
Analog Black Dial Men's Watch-MTP-V300L-1AUDF (A1176)  ,"3,795",4.1,"₹3,795",Casio
Analog White Dial Men's Watch-HB611251ABR  ,"7,440",4.1,"₹7,440",Mathey-Tissot
Classics Analog Silver Dial Men's Watch-G910  ,"2,341",4.1,"₹2,341",TIMEX
Trendies Analog Pink Dial Women's Watch-68015PP03/NP68015PP03  ,"1,550",4.2,"₹1,550",Fastrack
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance  ","3,799",4.3,"₹3,799",Fire-Boltt
Analog Champagne Dial Men's Watch-TW0TG6401  ,"1,317",4.2,"₹1,317",TIMEX
Analog Blue Dial Men's Watch-NL1698SM02  ,"4,895",4.2,"₹4,895",Titan
9951 Pure Black Chain Day & Date Wrist Watch Original Black Watch Analog Watch - for Men  ,399,3.0,₹399,VILLS LAURRENS
Analog Black Dial Men's Watch-MTP-VD01B-1BVUDF  ,"4,195",4.0,"₹4,195",Casio
"Boult Dive+ with 1.85"" HD Display, Bluetooth Calling Smartwatch, 500 Nits Brightness, 7 Days Battery Life, 150+ Watch Faces, 100+ Sport Modes, IP68 Waterproof Smart Watch (ICY Blue)  ","1,999",4.1,"₹1,999",Boult Audio
Multi Function Sports Digital Kids Watch for Boys & Girls  ,169,2.8,₹169,SWADESI STUFF
Analog Gold Dial Men's Watch NM7987YM06W/NN7987YM06W  ,999,4.2,₹999,Sonata
Hip Hop Analog White Dial Women's Watch-NL9827PP01/NP9827PP01  ,"1,960",4.3,"₹1,960",Fastrack
Essentials Analog Black Dial Men's Watch-NN77082SM01/NP77082SM01  ,899,4.3,₹899,Sonata
Analogue Boy's Watch (Blue Dial Blue Colored Strap)  ,119,3.2,₹119,RPS FASHION WITH DEVICE OF R
Analog Black Dial Men's Watch-FS5384  ,"8,697",4.5,"₹8,697",Fossil
Analog Gold Dial Men's Watch-NL1650YM04/NP1650YM04  ,"2,787",4.4,"₹2,787",Titan
Road Trip Analog Black Dial Men's Watch-NN3199NM03/NP3199NM03  ,"2,739",4.4,"₹2,739",Fastrack
Analog Black Dial Men's Watch-MTP-VT01L-1BUDF (A1615)  ,"2,405",4.3,"₹2,405",Casio
Analog Blue Dial Women's Watch-DK11159-2  ,"3,250",4.0,"₹3,250",DANIEL KLEIN
